StudentID,StudyHours,SleepHours,Attendance,AssignmentScore,Gender,Result
1,1.5,7.5,72,58,F,0
2,2.0,6.5,78,62,M,0
3,2.5,7.0,80,65,F,0
4,3.0,6.0,82,68,M,0
5,3.5,7.5,85,72,F,0
6,4.0,6.5,88,76,M,1
7,4.5,7.0,90,79,F,1
8,5.0,6.0,92,82,M,1
9,5.5,7.0,94,86,F,1
10,6.0,6.5,96,90,M,1
11,1.0,8.0,70,55,F,0
12,2.0,7.0,76,60,M,0
13,2.5,6.0,79,63,F,0
14,3.5,7.0,84,70,M,0
15,4.0,8.0,87,74,F,1
16,4.5,6.5,89,78,M,1
17,5.0,7.5,91,81,F,1
18,5.5,6.0,93,85,M,1
19,6.5,7.0,97,92,F,1
20,7.0,6.5,98,95,M,1
21,1.5,6.0,74,57,M,0
22,2.5,7.5,81,66,F,0
23,3.0,6.5,83,69,M,0
24,3.5,7.0,86,73,F,1
25,4.5,6.0,88,77,M,1
26,5.0,8.0,92,84,F,1
27,5.5,7.0,94,87,M,1
28,6.0,6.5,95,89,F,1
29,6.5,7.5,97,93,M,1
30,7.5,6.0,99,97,F,1
